Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
2	15:01:53.705	00:00:00.001	0	120,6538	491,6567	0,6254438	0,5012803	700,8522	3,752605	0	93,21285	460,1132	0,3693034	0,5054296	700,3253	3,900721	0	0	107	476						No media	0	1280	1024	0	0	115	472	401	0	Content		107	476	1966	5751544602	
22	15:01:53.725	00:00:00.021	1	128,8321	489,8939	0,625669	0,5013974	700,8522	3,82947	0	100,3868	468,6223	0,3695045	0,5054775	700,3253	3,89001	0	0	115	479						No media	0	1280	1024	0	0	115	472	401	0	Content		115	479	21949	5751564585	
42	15:01:53.745	00:00:00.041	2	121,7171	490,4232	0,6256843	0,5015215	702,2396	3,825959	0	99,7998	476,4247	0,3696259	0,5057353	700,3578	3,879475	0	0	111	483						No media	0	1280	1024	0	0	115	472	401	0	Content		111	483	41817	5751584453	
62	15:01:53.765	00:00:00.061	3	87,1207	498,3301	0,6257039	0,5015396	702,2396	3,786087	0	124,0449	427,1132	0,3697037	0,5059459	700,3578	3,913923	0	0	106	463						No media	0	1280	1024	0	0	115	472	401	0	Content		106	463	61706	5751604342	
82	15:01:53.785	00:00:00.081	4	121,8868	508,2957	0,6256753	0,5016267	702,2396	3,935473	0	136,4956	449,4593	0,369678	0,5060548	700,3578	3,98839	0	0	129	479						No media	0	1280	1024	0	0	115	472	401	0	Content		129	479	81701	5751624337	
102	15:01:53.805	00:00:00.101	5	124,1896	515,9082	0,6256295	0,5016686	702,2396	3,895236	0	120,4341	426,0335	0,3696003	0,5060892	700,3578	4,025064	0	0	122	471						No media	0	1280	1024	0	0	115	472	401	0	Content		122	471	101690	5751644326	
141	15:01:53.844	00:00:00.141	6	106,4352	489,2847	0,625465	0,5015976	702,2396	3,893288	0	110,166	415,9925	0,3694711	0,5060446	700,3578	3,957897	0	0	108	453						No media	0	1280	1024	0	0	115	472	401	0	Content		108	453	141477	5751684113	
161	15:01:53.864	00:00:00.161	7	125,1034	494,1837	0,6253339	0,501667	702,844	3,894583	0	110,6694	419,1729	0,3694865	0,5059792	701,03	4,011687	0	0	118	457						No media	0	1280	1024	0	0	115	472	401	0	Content		118	457	161439	5751704075	
181	15:01:53.884	00:00:00.181	8	109,5748	515,4407	0,6253412	0,5015349	702,844	3,892291	0	122,1586	464,9025	0,3694569	0,5059206	701,03	4,019347	0	0	116	490						No media	0	1280	1024	0	0	115	472	401	0	Content		116	490	181434	5751724070	
201	15:01:53.904	00:00:00.201	9	111,4446	500,5339	0,6253126	0,5014798	702,844	3,918189	0	108,6829	462,2703	0,3694424	0,5057533	701,03	3,979577	0	0	110	481						No media	0	1280	1024	0	0	115	472	401	0	Content		110	481	201301	5751743937	
