Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
18	15:42:37.980	00:00:00.018	0	617,7112	261,5789	0,6765599	0,2839899	613,1889	4,188681	0	661,7777	277,1792	0,3857103	0,3023026	613,0629	4,096546	0	0	640	269						No media	0	1280	1024	0	0	636	279	437	0	Content		640	269	18138	114984509	
38	15:42:38.000	00:00:00.038	1	613,7302	262,7357	0,6761414	0,2840211	611,9365	4,151542	0	666,2762	284,5335	0,3853422	0,3023928	613,0724	4,143326	0	0	640	274						No media	0	1280	1024	0	0	636	279	437	0	Content		640	274	38008	115004379	
58	15:42:38.020	00:00:00.058	2	609,6394	260,3319	0,6756638	0,2841406	610,3461	4,199401	0	659,8467	279,419	0,3848253	0,3024983	615,9616	4,112209	0	0	635	270						No media	0	1280	1024	0	0	636	279	437	0	Content		635	270	58026	115024397	
78	15:42:38.040	00:00:00.077	3	615,2219	264,1075	0,6753045	0,2842409	613,2336	4,259697	0	670,3064	276,4217	0,3845225	0,3028449	616,7759	4,148573	0	0	643	270						No media	0	1280	1024	0	0	636	279	437	0	Content		643	270	77936	115044307	
98	15:42:38.060	00:00:00.097	4	609,9717	280,847	0,6749608	0,2844117	611,1964	4,229787	0	656,9506	289,6231	0,3841939	0,3032392	614,6697	4,152943	0	0	633	285						No media	0	1280	1024	0	0	636	279	437	0	Content		633	285	97927	115064298	
118	15:42:38.080	00:00:00.117	5	612,4171	252,629	0,6747344	0,2847281	613,7557	4,258885	0	658,8501	296,9592	0,3839962	0,3034293	614,6517	4,155065	0	0	636	275						No media	0	1280	1024	0	0	636	279	437	0	Content		636	275	117766	115084137	
138	15:42:38.100	00:00:00.137	6	609,8206	254,4893	0,6745406	0,2848802	611,8909	4,218679	0	661,9846	300,2393	0,3838663	0,3035685	614,6301	4,152836	0	0	636	277						No media	0	1280	1024	0	0	636	279	437	0	Content		636	277	137765	115104136	
158	15:42:38.120	00:00:00.157	7	604,2491	261,0504	0,6743457	0,2849585	609,5681	4,232568	0	667,0498	297,3587	0,3837086	0,3038201	613,9352	4,160839	0	0	636	279						No media	0	1280	1024	0	0	636	279	437	0	Content		636	279	157634	115124005	
178	15:42:38.140	00:00:00.177	8	602,0229	244,5929	0,6741949	0,285018	610,6564	4,25914	0	659,1409	293,6176	0,3835324	0,3039443	613,9482	4,208259	0	0	631	269						No media	0	1280	1024	0	0	636	279	437	0	Content		631	269	177636	115144007	
198	15:42:38.160	00:00:00.197	9	615,9241	258,4895	0,674075	0,2848802	612,3845	4,282465	0	661,1948	299,1731	0,3834318	0,3039067	611,1583	4,143356	0	0	639	279						No media	0	1280	1024	0	0	636	279	437	0	Content		639	279	197508	115163879	
217	15:42:38.179	00:00:00.217	10	610,3746	264,6339	0,6738558	0,2846502	612,3677	4,259584	0	647,3556	309,7319	0,3832877	0,3038163	609,9606	4,119924	0	0	629	287						No media	0	1280	1024	0	0	636	279	437	0	Content		629	287	217428	115183799	
237	15:42:38.199	00:00:00.237	11	606,6572	267,8197	0,6735165	0,2843348	612,347	4,268648	0	653,3639	312,4144	0,3830144	0,3036769	611,6972	4,129452	0	0	630	290						No media	0	1280	1024	0	0	636	279	437	0	Content		630	290	237371	115203742	
257	15:42:38.219	00:00:00.257	12	610,1891	262,5651	0,673068	0,2842463	612,9219	4,267184	0	649,9899	306,6848	0,3825735	0,3038041	611,5459	4,162137	0	0	630	285						No media	0	1280	1024	0	0	636	279	437	0	Content		630	285	257431	115223802	
